,dt,sensor,con,spl,date,time
366,2016-07-06 04:00:00,sensor_3,2050.3975,80.7855540028,2016-07-06,04:00:00
370,2016-07-06 08:00:00,sensor_3,2146.25625,81.1783295926,2016-07-06,08:00:00
374,2016-07-06 12:00:00,sensor_3,1903.5325,82.2065895055,2016-07-06,12:00:00
378,2016-07-06 16:00:00,sensor_3,1922.28375,80.6366302313,2016-07-06,16:00:00
382,2016-07-06 20:00:00,sensor_3,1548.41875,80.1120483922,2016-07-06,20:00:00
386,2016-07-07 00:00:00,sensor_3,1629.77,73.5995814402,2016-07-07,00:00:00
390,2016-07-07 04:00:00,sensor_3,1912.08625,78.1906125805,2016-07-07,04:00:00
394,2016-07-07 08:00:00,sensor_3,1930.9175,80.0082309432,2016-07-07,08:00:00
398,2016-07-07 12:00:00,sensor_3,1963.7625,81.8196709309,2016-07-07,12:00:00
401,2016-07-07 16:00:00,sensor_3,2359.89375,78.5926987212,2016-07-07,16:00:00
404,2016-07-07 20:00:00,sensor_3,2333.66875,79.5018215541,2016-07-07,20:00:00
407,2016-07-08 00:00:00,sensor_3,1926.615,70.9413568102,2016-07-08,00:00:00
411,2016-07-08 04:00:00,sensor_3,2187.48125,77.6389938746,2016-07-08,04:00:00
415,2016-07-08 08:00:00,sensor_3,2704.03125,80.5874044924,2016-07-08,08:00:00
418,2016-07-08 12:00:00,sensor_3,3547.25375,79.3882927826,2016-07-08,12:00:00
421,2016-07-08 16:00:00,sensor_3,2261.71875,78.9039372458,2016-07-08,16:00:00
424,2016-07-08 20:00:00,sensor_3,2729.37,80.4819635547,2016-07-08,20:00:00
427,2016-07-09 00:00:00,sensor_3,2648.28125,71.84640775,2016-07-09,00:00:00
431,2016-07-09 04:00:00,sensor_3,2107.53,76.4926188376,2016-07-09,04:00:00
435,2016-07-09 08:00:00,sensor_3,2554.4075,78.3314939836,2016-07-09,08:00:00
439,2016-07-09 12:00:00,sensor_3,2881.86,78.0612507688,2016-07-09,12:00:00
442,2016-07-09 16:00:00,sensor_3,3460.695,79.5532900057,2016-07-09,16:00:00
445,2016-07-09 20:00:00,sensor_3,1904.09,76.8153860958,2016-07-09,20:00:00
448,2016-07-10 00:00:00,sensor_3,1656.01875,70.1072313979,2016-07-10,00:00:00
451,2016-07-10 04:00:00,sensor_3,1766.4725,70.7583449206,2016-07-10,04:00:00
454,2016-07-10 08:00:00,sensor_3,1561.66625,75.2645704097,2016-07-10,08:00:00
457,2016-07-10 12:00:00,sensor_3,1704.435,80.9840862983,2016-07-10,12:00:00
460,2016-07-10 16:00:00,sensor_3,1660.3075,76.9719608461,2016-07-10,16:00:00
464,2016-07-10 20:00:00,sensor_3,1393.295,77.0459668762,2016-07-10,20:00:00
468,2016-07-11 00:00:00,sensor_3,1592.26375,76.7324689356,2016-07-11,00:00:00
472,2016-07-11 04:00:00,sensor_3,1790.52375,76.246167784,2016-07-11,04:00:00
476,2016-07-11 08:00:00,sensor_3,2068.68625,79.9519788595,2016-07-11,08:00:00
480,2016-07-11 12:00:00,sensor_3,1823.415,78.2657933296,2016-07-11,12:00:00
484,2016-07-11 16:00:00,sensor_3,1905.74333333,76.5774758215,2016-07-11,16:00:00
